key,name,token,token_kind,token_id,stats_endian,STR,DEX,CON,INT,SPD,CHA,LCK,error
1,Catrick Swayze,male103,male,103,le,3,6,5,7,3,5,6,
2,Mye,male11,male,11,le,6,4,7,5,6,3,4,
3,Tycho,female57,female,57,le,6,4,5,7,6,4,3,
4,Waterpik,male11,male,11,le,6,4,7,5,3,3,6,
5,Natalie,male3,male,3,le,4,7,4,5,5,5,6,
6,Skreep,female51,female,51,le,6,5,5,5,6,4,4,
7,Fezzik,male33,male,33,le,5,5,6,6,4,5,4,
8,Lati,female11,female,11,le,3,5,5,7,4,5,6,
9,Clunkstar,male57,male,57,le,6,5,4,5,5,5,5,
10,Labubu,female11,female,11,le,6,5,4,7,4,5,5,
11,Panika,male3,male,3,le,4,7,6,5,5,5,6,
12,Puri,male55,male,55,le,7,5,5,4,3,5,6,
13,Goobert,male11,male,11,le,6,4,5,5,3,3,6,
14,Revi,male3,male,3,le,5,7,6,6,5,5,4,
15,Yekaterina Petrovna,female59,female,59,le,6,5,5,4,5,6,4,
16,Aiwen,male57,male,57,le,6,5,5,5,5,5,5,
17,Gleb,male54,male,54,le,4,4,5,5,6,6,5,
18,Mouche,male55,male,55,le,3,5,5,4,3,5,6,
19,Booticus Maximus,male55,male,55,le,3,5,5,4,4,5,6,
20,Vito,male11,male,11,le,6,4,5,4,5,6,6,
21,Pierce,female45,female,45,le,5,5,5,4,6,6,4,
22,Alan,male57,male,57,le,7,5,5,5,5,5,5,
23,Katerina,male55,male,55,le,7,5,5,4,5,5,6,
24,Olman,male13,male,13,le,5,5,5,4,5,6,4,
25,Janina,male111,male,111,le,6,6,6,4,5,4,4,
26,Stimpy,male11,male,11,le,6,5,5,7,5,5,6,
27,Freeloader,female45,female,45,le,5,5,5,4,6,6,4,
28,Iriska,male51,male,51,le,5,6,6,5,4,4,5,
29,Ruth,male111,male,111,le,5,6,5,4,6,6,4,
30,Olympia,female11,female,11,le,6,5,5,3,6,4,6,
31,Hamilton,male13,male,13,le,5,5,6,4,5,4,5,
32,Princess Enane,male1,male,1,le,5,5,4,6,5,7,3,
33,Louise Jean Pierre,male51,male,51,le,6,4,5,4,6,6,4,
34,Clank,female11,female,11,le,6,5,7,3,3,3,6,
35,Punk Girl,male51,male,51,le,5,5,5,4,5,6,4,
36,Akasha,male1,male,1,le,5,5,5,7,5,5,3,
37,Caucho,female17,female,17,le,3,6,6,4,6,6,4,
38,Marla,male1,male,1,le,5,5,5,4,5,7,4,
39,Istar,male19,male,19,le,5,5,5,5,4,5,6,
40,Onza,female22,female,22,le,5,6,4,6,5,5,4,
41,Mesha,female26,female,26,le,4,5,4,5,5,7,5,
